Code departement,Code postal,Commune
2,2360,PARFONDEVAL
2,2120,AUDIGNY
2,2130,DRAVEGNY
2,2200,VILLENEUVE ST GERMAIN
2,2270,MESBRECOURT RICHECOURT
2,2270,MONTIGNY SUR CRECY
2,2210,OULCHY-LE-CHATEAU
2,2400,BONNESVALYN
2,2220,MONT SAINT MARTIN
2,2350,MISSY LES PIERREPONT
2,2140,FONTAINE-LES-VERVINS
2,2240,SERY LES MEZIERES
2,2680,CASTRES
2,2100,NEUVILLE SAINT AMAND
2,2790,SERAUCOURT LE GRAND
2,2360,LES AUTELS
2,2420,NAUROY
2,2110,CROIX-FONSOMME
2,2360,ROZOY SUR SERRE
2,2120,MARLY GOMONT
2,2540,L EPINE AUX BOIS
2,2130,VILLERS SUR FERE
2,2590,SAVY
2,2500,ANY MARTIN RIEUX
2,2500,AUBENTON
2,2500,BESMONT
2,2500,LEUZE
2,2420,VENDHUILE
2,2450,BERGUES SUR SAMBRE
2,2850,LE CHARMEL
2,2400,ETAMPES SUR MARNE
2,2110,SAINT MARTIN RIVIERE
2,2830,WATIGNY
2,2880,CUFFIES
2,2170,BARZY-EN-THIERACHE
2,2220,CIRY SALSOGNE
2,2240,BRISSY-HAMEGICOURT
2,2510,VENEROLLES
2,2600,FLEURY
2,2200,VAUXREZIS
2,2270,LA FERTE-CHEVRESIS
2,2870,BESNY ET LOIZY
2,2600,COYOLLES
2,2370,CHAVONNE
2,2140,LANDOUZY LA COUR
2,2240,REGNY
2,2500,BUIRE
2,2810,VEUILLY LA POTERIE
2,2810,SAINT GENGOULPH
2,2200,BERZY LE SEC
2,2490,ATTILLY
2,2860,CHERMIZY AILLES
2,2490,LE VERGUIER
2,2190,AMIFONTAINE
2,2390,ORIGNY-SAINTE-BENOITE
2,2120,VILLERS LES GUISE
2,2240,SISSY
2,2600,LONGPONT
2,2220,DHUIZEL
2,2570,ESSISES
2,2600,SAINT PIERRE AIGLE
2,2170,LE NOUVION-EN-THIERACHE
2,2400,BRASLES
2,2210,BRECY
2,2400,BONNEIL
2,2420,BELLENGLISE
2,2360,MONT SAINT JEAN
2,2570,LA CHAPELLE SUR CHEZY
2,2260,CLAIRFONTAINE
2,2810,MARIGNY EN ORXOIS
2,2140,BRAYE-EN-THIERACHE
2,2300,UGNY LE GAY
2,2210,LATILLY
2,2120,LE HERIE LA VIEVILLE
